Site,PFPrA (ng/L),PFBA (ng/L),PFPeA (ng/L),PFHxA (ng/L),PFHpA (ng/L),PFOA (ng/L),PFNA (ng/L),PFDA (ng/L),PFUdA (ng/L),PFPrS (ng/L),PFBS (ng/L),PFPeS (ng/L),L-PFHxS (ng/L),Br-PFHxS (ng/L),PFHpS (ng/L),L-PFOS (ng/L),Br-PFOS (ng/L),PFDS (ng/L),FBSA (ng/L),FPeSA (ng/L),FHxSA (ng/L),FHpSA (ng/L),FOSA (ng/L),4:2 FTS (ng/L),6:2 FTS (ng/L),8:2 FTS (ng/L),10:2 FTS (ng/L),5:3 FTCA (ng/L),7:3 FTCA (ng/L),PFECHS (ng/L)
1-Groundwater,23.6,40.3,86.1,328.1,185.6,546.1,6.6,2.7,<MDL,4.4,25.2,74.1,1957.6,459.4,107.1,2306.7,280.1,<MDL,580.5,208.9,798.6,12.1,58.6,<MDL,99.5,318.3,<MDL,<MDL,<MDL,7.3
1-Groundwater,32.3,59.5,111.7,509.7,323.8,835.5,9.6,4.6,4.4,5.6,39.3,137.8,3665.2,1214.8,191.6,4403.9,777.4,<MDL,738.3,274.5,1396.6,22.7,128.6,0.2,175.8,581.4,<MDL,<MDL,<MDL,10.3
2-River,0.9,4.4,9.7,12.9,7,12.8,6.9,<MDL,<MDL,1.1,3.5,4,38.4,6.4,2.1,35.1,15.7,<MDL,1.2,0.7,7.5,<MDL,<MDL,<MDL,3.2,0.5,<MDL,0.4,<MDL,0.3
2-River,2.1,4.8,10.8,13.4,7.4,14,6.4,<MDL,<MDL,1.4,3.9,3.6,40.7,6.6,1.9,36.9,19.3,<MDL,1.7,0.9,8.8,<MDL,0.2,<MDL,2.1,0.3,<MDL,0.4,<MDL,0.2
2-River,1.9,4.6,10.5,14.7,7.3,14.5,7.7,<MDL,<MDL,1.3,4.1,4,42,7.5,1.7,32.9,21.4,<MDL,9.3,3.9,43.1,<MDL,<MDL,<MDL,3.5,<MDL,<MDL,0.3,<MDL,<MDL
2-River,1.5,5.2,9.9,12.5,10.2,14.2,6.3,0.2,0.5,1.1,3.4,3.2,40.3,7,1.9,33.6,19,<MDL,2.9,1.4,14.2,<MDL,0.5,0,2.3,0.3,<MDL,0.4,<MDL,0.2
2-River,1.6,4.9,11.3,13.2,7.5,17.4,7,<MDL,<MDL,1.3,3.6,3.5,41.5,7.3,1.5,34.5,18.6,<MDL,4.8,2.7,26.1,<MDL,0.3,0,2.1,0.3,<MDL,0.3,<MDL,0.2
2-River,1.5,4.6,10.1,11.9,7.8,14.3,6.3,<MDL,<MDL,1.2,3.2,3.2,39.7,6.9,2,33.9,18,<MDL,2,1.1,11.1,<MDL,0.4,0,1.9,0.2,<MDL,0.4,<MDL,0.2
3-Estuary,<MDL,4.1,8.4,10.2,5.6,9.9,5.1,<MDL,<MDL,0.9,3.2,2.9,30.8,5.2,1.7,26.7,13,0.5,0.8,0.3,3,<MDL,0.4,0,1,0,<MDL,<MDL,<MDL,0.2
3-Estuary,<MDL,3.9,7.9,9.8,5.4,9.6,4.6,<MDL,<MDL,<MDL,2.9,2.2,28,4.7,1.5,28.5,12.4,<MDL,1,0.5,4.4,<MDL,0.3,0,0.7,<MDL,<MDL,<MDL,<MDL,0.1
3-Estuary,<MDL,2.3,4.5,5.2,3.2,6.1,3.1,<MDL,<MDL,<MDL,1.6,1.4,16.5,2.7,0.9,14.9,7.1,<MDL,1.7,0.8,6.3,<MDL,<MDL,<MDL,0.6,<MDL,<MDL,<MDL,<MDL,<MDL
3-Estuary,0.7,4,9,10.3,6.1,10.9,5,<MDL,<MDL,1,3.3,3,32.4,5.6,1.9,24.6,12.5,<MDL,0.9,0.4,3.8,<MDL,0.2,<MDL,1.1,<MDL,<MDL,<MDL,<MDL,<MDL
3-Estuary,<MDL,4.1,8.4,9.9,5.7,10.6,4.9,<MDL,<MDL,<MDL,3.2,2.6,29.7,5,1.6,30.2,13.1,<MDL,0.8,0.4,3.6,<MDL,0.2,<MDL,0.7,<MDL,<MDL,<MDL,<MDL,0.1
3-Estuary,0.5,3.9,7.4,8.9,6.3,9.6,4.6,0.1,<MDL,1.2,2.8,2.5,27,4.5,1.7,27.3,11.2,<MDL,0.7,0.3,2.7,<MDL,0.1,0,0.7,0.1,<MDL,<MDL,<MDL,0.1
3-Estuary,<MDL,2.5,4.7,5.2,3.1,5.7,2.5,<MDL,<MDL,<MDL,1.7,1.7,15.9,2.6,1,13.8,5.9,<MDL,0.6,0.3,1.9,<MDL,0.1,<MDL,0.5,0.1,<MDL,<MDL,<MDL,<MDL
